Antipattern,InputFormat,Example,Model,Prompt,Detected,ImprovementQuality
Ambigious Service,OpenApi,Museum,GPT-4o,RB,true,2
Ambigious Service,OpenApi,Twilio,GPT-4o,RB,true,2
Missing API Versioning,OpenApi,Museum,GPT-4o,RB,true,3
Missing API Versioning,OpenApi,Twilio,GPT-4o,RB,false,0
Service Chain,PlantUML Sequence Diagram,2PC,GPT-4o,RB,false,0
Service Chain,PlantUML Sequence Diagram,Ledger,GPT-4o,RB,false,0
Chatty Service,PlantUML Sequence Diagram,2PC,GPT-4o,RB,false,0
Chatty Service,PlantUML Sequence Diagram,Ledger,GPT-4o,RB,true,3
Nanoservices,PlantUML Component Diagram,Ecommerce,GPT-4o,RB,true,2
Nanoservices,PlantUML Component Diagram,Video Processing,GPT-4o,RB,false,0
Shared Persistency,PlantUML Component Diagram,Ecommerce,GPT-4o,RB,true,3
Shared Persistency,PlantUML Component Diagram,Video Processing,GPT-4o,RB,false,0
Ambigious Service,OpenApi,Museum,GPT-4o,RB+CoT,false,0
Ambigious Service,OpenApi,Twilio,GPT-4o,RB+CoT,true,1
Missing API Versioning,OpenApi,Museum,GPT-4o,RB+CoT,false,0
Missing API Versioning,OpenApi,Twilio,GPT-4o,RB+CoT,false,0
Service Chain,PlantUML Sequence Diagram,2PC,GPT-4o,RB+CoT,false,0
Service Chain,PlantUML Sequence Diagram,Ledger,GPT-4o,RB+CoT,false,0
Chatty Service,PlantUML Sequence Diagram,2PC,GPT-4o,RB+CoT,true,3
Chatty Service,PlantUML Sequence Diagram,Ledger,GPT-4o,RB+CoT,true,3
Nanoservices,PlantUML Component Diagram,Ecommerce,GPT-4o,RB+CoT,true,2
Nanoservices,PlantUML Component Diagram,Video Processing,GPT-4o,RB+CoT,false,0
Shared Persistency,PlantUML Component Diagram,Ecommerce,GPT-4o,RB+CoT,true,3
Shared Persistency,PlantUML Component Diagram,Video Processing,GPT-4o,RB+CoT,true,3
Ambigious Service,OpenApi,Museum,GPT-4o,RB+CoT+Cat,true,3
Ambigious Service,OpenApi,Twilio,GPT-4o,RB+CoT+Cat,false,0
Missing API Versioning,OpenApi,Museum,GPT-4o,RB+CoT+Cat,true,3
Missing API Versioning,OpenApi,Twilio,GPT-4o,RB+CoT+Cat,false,0
Service Chain,PlantUML Sequence Diagram,2PC,GPT-4o,RB+CoT+Cat,false,0
Service Chain,PlantUML Sequence Diagram,Ledger,GPT-4o,RB+CoT+Cat,false,0
